Category Code,Food_Product_Categories,Item Code (CPC)
1,Apples,1341
2,Bananas,"01312, 01313"
3,Barley (Beer),"0115, 24310.01"
4,Beef (beef herd),"02111, 21512, 21111.01, 21151"
5,Beef (dairy herd),
6,Beet Sugar,1801
7,Berries & Grapes,"01330, 01344.02, 01351.01, 01351.02, 01352, 01353.01, 01354, 01355.01, 01355.02, 01355.90, 01344.01, 1355.9"
8,Brassicas,"01212, 01213, 01214, 01215"
9,Cane Sugar,1802
10,Cassava,"1520.01, 1219.01"
11,Cheese,"22251.01, 22251.02, 22252, 22253, 22254"
12,Citrus Fruit,"01321, 01322, 01323, 01324, 01329"
13,Coffee,1610
14,Dark Chocolate,1640
15,Eggs,"0232, 0231"
16,Fish (farmed),
17,Groundnuts,"0142, 2162"
18,Lamb & Mutton,"02122, 21514, 21115, 21155"
19,Maize (Meal),"0112, 01290.01, 21691.02"
20,Milk,"02211, 02291, 02212, 02292, 02293, 22211, 22212, 22221.01, 22221.02, 22222.01, 22222.02, 22230.04, 22110.02, 22120, 22130.02, 22130.03, 22230.01, 22241.01, 22241.02, 22242.01, 22242.02, 22249.01, 22249.02"
21,Nuts,"01359.02, 01371, 01372, 01373, 01374, 01375, 01376, 01377, 01379.01, 01379.02, 01379.90, 01499.01, 01499.02"
22,Oatmeal,117
23,Olive Oil,2167
24,Onions & Leeks,"01252, 01253.01, 01253.02, 01254"
25,Other Fruit,"01221, 01229, 01232, 01233, 01235, 01311, 01314, 01315, 01316, 01317, 01318, 01319, 01342.01, 01342.02, 01343, 01345, 01346, 01349.10, 01349.20, 01359.01, 01359.90, 01499.05, 01460, 01450, 01651, 01652, 01270, 2166, 1314, 1315"
26,Other Pulses,"01704, 01703, 01702, 01701, 01706, 01707, 01708, 01709.01, 01709.02, 01709.90, 01491.02, 01499.03, 01499.06, 01653, 01654, 01658, 0143, 01449.01, 01449.02, 01449.90, 01356, 0114, 0118, 01191, 01192, 01193, 01194, 01195, 01199.02, 01199.90, 21631.02, 2168, 21691.07, 21691.12, 1441, 1442, 1444, 1446,1447,1448, 21691.14"
27,Other Vegetables,"01211, 01290.90, 01216, 01656, 01655, 01620, 01630, 01659, 01699, 01241.01, 01241.90, 01243, 01239.01, 01231, 01930.01, 23913"
28,Palm Oil,"01491.01, 2165"
29,Peas,"01705, 01242, "
30,Pig Meat,"02140, 21511.01, 21521, 21153"
31,Potatoes,1510
32,Poultry Meat,"02151, 02152, 02153, 02154, 21121, 21122, 21123, 21124, 21170.01"
33,Rapeseed Oil,"21641.01, 21700.02, 1443"
34,Rice,113
35,Root Vegetables,"01530, 01540, 01550, 01599.10, 01591, 01657, 01691, 01251"
36,Shrimps (farmed),
37,Soybean Oil,2161
38,Soymilk,
39,Sunflower Oil,"21631.01, 1445"
40,Tofu,141
41,Tomatoes,1234
42,Wheat & Rye (Bread),"111, 116"
43,Wine,24212.02
44,Not a Food Product,"1921.01, 1921.02, 1922.01, 1922.02, 1929.02, 1929.03, 1929.04, 1929.05, 1929.06, 1929.07, 1929.08, 1929.9, 1950.01, 1950.01, 1970, 2196, 2941, 2944, 2951.01, 2951.03, 2953, 2954, 2960.01, 3211, 21523, 26110, 26190.01, 1499.03, 1499.04"
45,No CO2 data provided,"23540, 21515, 21519.02, 1809, 2112, 2121.01, 2121.02, 2123, 2131, 2132, 2133, 2191, 2192.01, 2910, 2920, 21112, 21113.01, 21114, 21116, 21117.01, 21117.02, 21118.01, 21118.02, 21118.03, 21119.01, 21152, 21156, 21159.01, 21159.02, 21170.02, 21170.92, 21513"
46,Upper Level Category,"F1717, F1720, F1723, F1726, F1729, F1732, F1735, F1738, F1745, F1746, F1749, F17530, F1765, F1780, F1783, F1804, F1806, F1807, F1808, F1809, F1811, F1816, F1841, F2029"
47,Other,2351f
